,name,adress,sido,gungu
0,강원철원군지경리점,강원 철원군 갈말읍 청양로,강원,철원군
1,강원강릉시입암점,강원 강릉시 강변로,강원,강릉시
2,경기양주시덕계점,경기 양주시 평화로,경기,양주시
3,경기고양시성석점,경기 고양시 일산동구 고봉로,경기,고양시
4,경기의정부시장암점,경기 의정부시 장곡로,경기,의정부시
5,경기고양시신원점,경기 고양시 덕양구 권율대로,경기,고양시
6,서울은평구녹번점,서울 은평구 백련산로,서울,은평구
7,서울서대문구북가좌2점,서울 서대문구 증가로,서울,서대문구
8,서울중랑구상봉1점,서울 중랑구 신내로,서울,중랑구
9,서울송파구잠실본점,서울 송파구 백제고분로,서울,송파구
10,서울송파구송파방이2점,서울 송파구 가락로,서울,송파구
11,서울강서구등촌3동점,서울 강서구 공항대로,서울,강서구
12,서울강서구수명산파크점,서울 강서구 강서로,서울,강서구
13,경기부천시심곡점,경기 부천시 소사구 심곡로,경기,부천시
14,인천중구하늘도시점,인천 중구 하늘달빛로,인천,중구
15,경기시흥시목감점,경기 시흥시 논곡길,경기,시흥시
16,경기시흥시배곧1점,경기 시흥시 배곧4로,경기,시흥시
17,경기성남시이매점,경기 성남시 분당구 성남대로,경기,성남시
18,경기남양주시진접지구점,경기 남양주시 진접읍 해밀예당로,경기,남양주시
19,경기오산시궐동점,경기 오산시 궐동로,경기,오산시
20,경기안산시신도시점,경기 안산시 단원구 광덕로,경기,안산시
21,경기화성시동탄2호점,경기 화성시 동탄반석로,경기,화성시
22,경기용인시흥덕지구점(B),경기 용인시 기흥구 흥덕로,경기,용인시
23,충남아산시배방점,충남 아산시 배방읍 배방로,충남,아산시
24,충남예산군삽교점,충남 예산군 삽교로,충남,예산군
25,충북충주시수안보점,충북 충주시 수안보면 온천중앙길,충북,충주시
26,충북음성군삼성점(B),충북 음성군 삼성면 덕정로,충북,음성군
27,대전유성구송강봉산점,대전 유성구 봉산로,대전,유성구
28,대전동구용운판암점,대전 동구 동부로,대전,동구
29,대구수성구시지1점,대구 수성구 달구벌대로,대구,수성구
30,대구남구대명2점,대구 남구 성당시장길,대구,남구
31,경북의성군의성점,경북 의성군 의성읍 동서1길,경북,의성군
32,경북봉화군봉화점,경북 봉화군 봉화읍 내성로,경북,봉화군
33,경북포항시우현점,경북 포항시 북구 선착로,경북,포항시
34,경북포항시오천점,경북 포항시 남구 오천읍 문덕로,경북,포항시
35,부산사하구다대1점,부산 사하구 윤공단로,부산,사하구
36,부산사상구신주례점,부산 사상구 양지로,부산,사상구
37,부산사하구괴정1점,부산 사하구 장평로,부산,사하구
38,경남진주시상대점,경남 진주시 돗골로,경남,진주시
39,경남거제시아주점,경남 거제시 용소길,경남,거제시
40,경남진주시도동점,경남 진주시 대신로,경남,진주시
41,경남창원시감계점,경남 창원시 의창구 북면 감계로,경남,창원시
42,전남순천시왕지점,전남 순천시 연동남길,전남,순천시
43,전북군산시군산대점,전북 군산시 미제길,전북,군산시
44,광주북구일곡점,광주 북구 송해로,광주,북구
45,전남진도군진도점,전남 진도군 진도읍 남문길,전남,진도군
46,제주서귀포시중문점,제주 서귀포시 천제연로,제주,서귀포시
47,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
48,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
49,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
50,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
51,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
52,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
53,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
54,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
55,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
56,서울구로구고척스카이돔점,서울 구로구 경인로 430,서울,구로구
